BCN,Extension,BudgetCenter,Year,Month,Model,POC,SerialNumber,Type,BeginRead,EndRead,Volume,Credits,Debits,UncollectedReason,Source,Comments,Date,ConnectedStatus,Reason
7166976,1,S178,2019,December,,,XKP537211,TotalColorImpressions,23333,24269,936,,,,Tactical,High volume confirmed in DDCL 11/21,43785.41376,,
7166976,1,S178,2019,December,,,XKP548027,TotalBlackImpressions,1233256,1233256,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP548027,TotalColorImpressions,142978,142978,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP547737,TotalBlackImpressions,1000775,1000775,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP547737,TotalColorImpressions,114628,114628,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP550660,TotalBlackImpressions,63636,63636,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP538467,TotalBlackImpressions,437225,437225,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP551904,TotalBlackImpressions,454141,458523,4382,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP551904,TotalColorImpressions,1700,1742,42,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP552785,TotalBlackImpressions,914574,914574,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP552785,TotalColorImpressions,41916,41916,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557428,TotalBlackImpressions,329725,329725,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557428,TotalColorImpressions,8763,8763,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557763,TotalBlackImpressions,881904,881904,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557763,TotalColorImpressions,93589,93589,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557673,TotalBlackImpressions,431316,431316,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP534625,TotalColorImpressions,73436,79326,5890,,,,Tactical,High volume confirmed in DDCL 11/21,43772.48907,,
7166976,1,S178,2019,December,,,XKP527806,TotalBlackImpressions,1617179,1626067,8888,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP527806,TotalColorImpressions,143313,143888,575,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP536898,TotalBlackImpressions,1779051,1797075,18024,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP536898,TotalColorImpressions,301424,303619,2195,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKK398912,TotalBlackImpressions,1484383,1484383,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKK398912,TotalColorImpressions,89959,89959,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP551484,TotalBlackImpressions,1426135,1440926,14791,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP551484,TotalColorImpressions,273868,277020,3152,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP551125,TotalBlackImpressions,949918,949918,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP551125,TotalColorImpressions,347926,347926,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557647,TotalBlackImpressions,565396,569621,4225,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557647,TotalColorImpressions,17328,17625,297,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP544650,TotalBlackImpressions,1210661,1224646,13985,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP544650,TotalColorImpressions,226098,228740,2642,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557962,TotalBlackImpressions,1071106,1071106,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557962,TotalColorImpressions,97067,97067,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557572,TotalBlackImpressions,855316,864107,8791,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557572,TotalColorImpressions,92120,94386,2266,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557525,TotalBlackImpressions,898625,911109,12484,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557525,TotalColorImpressions,122816,124398,1582,,,,MBR/XSM/XRM,,43796,,
7166976,1,S178,2019,December,,,XKP557196,TotalBlackImpressions,1178644,1178644,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP557196,TotalColorImpressions,181638,181638,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP541184,TotalBlackImpressions,708787,708787,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP541184,TotalColorImpressions,40287,40287,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP533611,TotalBlackImpressions,1188496,1188496,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP533611,TotalColorImpressions,222596,222596,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,AE7147458,TotalBlackImpressions,46262,46262,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP530077,TotalBlackImpressions,417915,417915,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP530077,TotalColorImpressions,19962,19962,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP543115,TotalBlackImpressions,577474,588227,10753,,,,Tactical,High volume confirmed in DDCL 11/21,43785.40707,,
7166976,1,S178,2019,December,,,XKP064867,TotalBlackImpressions,641819,641819,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,XKP064867,TotalColorImpressions,19452,19452,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
7166976,1,S178,2019,December,,,VMA558766,TotalImpressions,20167,20167,0,,,No POC available,,Not in sources / IMP1 active / No POC available 11/27,43796,,
